Competition	Year
NJ SCAR AND NJ SWIMMING SENIOR STATES	2017
NC MAC Charlotte Ultraswim	2017
NCSA Summer Champioships	2017
2017 Canadian Junior Championships	2017
SE TNAQ LONG COURSE INVITATIONAL	2017
2017 Otvoreno prvenstvo Srbije	2017
2017 NZ Age Group Championship	2017
XXX CCCAN Swimming Championshi	2017
VI Commonwealth Youth Games	2017
Virginia Swimming LC Senior Championships	2017
Los Angeles Invitational	2017
GU AGS Senior Circuit #2	2017
Letnje prvenstvo Srbije za juniore i u apsolutnoj konkurenciji 2017	2017
Southern Senior Sectionals Championships	2017
New England Senior Championships	2017
SNOW Long Course Invitational	2017
NT DM Senior Circuit #1 LC Meet	2017
Indiana Senior State Championships	2017
USA Swimming Futures Championships (Tennessee)	2017
USA Swimming Futures Championships (Santa Clara)	2017
Speedo Champions Series - California-Nevada	2017
SE Richard Quick Invitational	2017
Southern Zone Long Course Sectional Championships	2017
WI 13 & Over LCM State Championships	2017
Speedo Champions Series - Columbus	2017
Mike Peppe-John Bruce Memorial	2017
Southern Zone South Sectional Championship	2017
Sunsmart End of summer Sensati	2017
2017 Canada Games Swimming	2017
USA Swimming Futures Championships (Ohio)	2017
Victoria LC Age Championships	2017
GA Senior State Championship	2017
Missouri Valley Swimming LCM Championships	2017
Aquatica Summer Splash	2017
2017 HFMF New Years Challenge	2017
PC Far Western Long Course Championships	2017
Long Course Far Western Championships	2017
2017 Canadian Western Swimming Champtionships	2017
Speedo Sectionals - Central - Indianapolis	2017
Summer Superleague LC Championships	2017
2017 LC Distance Competition	2017
Langbahn-Schweizermeisterschaft	2017
Southeastern LCM Championships	2017
Louisiana Long Course State Championship	2017
2017 Swim BC Senior Open	2017
NJ BAC Memorial Day Meet	2017
Arena Grand Challenge	2017
Western Zone Senior Championships	2017
OR Speedo Western Region Sectional Championships	2017
LCY NATS BOTH	2017
NJ BAC Cerave Long Course Invitational	2017
USA Swimming Futures Championships (Austin)	2017
Illinois Swimming Senior Championships	2017
GU TWST Senior Invite	2017
Speedo Champions Series - Minneapolis	2017
ISCA Summer Seniors Championships	2017
Florida Swimming Senior LCM Championships	2017
AZ Speedo Arizona Invitational	2017
La Mirada Armada April Senior LC Invitational	2017
Southern Zone Senior Championships	2017
2017 Summer LC Provincial Cham	2017
FGC Senior Championships	2017
2017 Canadian Eastern Swimming Championships	2017
Speedo Sectionals - Southern - Plantatioin	2017
CA SCS/RMDA JUNE AGE GROUP	2017
Long Course Texas Age Group Championship	2017
Senior Circuit Long Course Championships	2017
Sr. LCM Sectional Qualifer	2017
British Columbia AAA Long Course Championships	2017
PVS LC Senior Championships	2017
Eastern Zone Age Group Championships	2017
MN NSAC Heat of the Summe	2017
FL CAT Al Soltis Memorial Meet	2017
Senior Metropolitan Championships	2017
Eric Namesnik Memorial Swim Meet	2017
SCS Summer Junior Olympics	2017
Arizona Long Course Senior State Championships	2017
Niagara Long Course Championships	2017
CA GWSC day after CIF	2017
PNS Senior LC Championships	2017
OH CM TYR Sport Summer Classic	2017
WI LAKE Western Great Lakes Open	2017
CO CAC CSI LC Open	2017
Lake Erie Senior LC Champs	2017
MD NAAC Carol Chidester Elite LCM Meet	2017
FL SYS Memorial Meet	2017
Southern Zone Age Group Championships	2017
North American Challenge Cup	2017
Eastern Zone Senior Championships	2017
Middle Atlantic Senior LC Championship	2017
RZW: Regionale Meisterschaften	2017
WDSC Long Course Premier Meet	2017
XXXII Carifta Swimming Champio	2017
Gulliver Senior Invitational	2017
CO CSI Senior LC State Championships	2017
LC Open	2017
Kentucky 13 & Over LCM State Championships	2017
Swiss Championships	2017
Utah LC Championships	2017
FG GRSC Summer Invite	2017
FG SFTL International Classic	2017
MD NBAC Long Course Championship	2017
South Carolina LCM State Championships	2017
Sandbox Invitational	2017
LC Gulf Senior Champs	2017
Florida Age Group Championships	2017
AZ Long Course Age Group State Championships	2017
Calvin Summer Classic	2017
Montana Long Course State Championships	2017
Central Zone Age Group Championships	2017
Diplomat May Maelstorm	2017
Speedo Champions Series - Lincoln, NE	2017
MN FOXJ Long Course Championship	2017
SPA'S SEMINOLE SUNRISE LANES I	2017
Prairie Winter International 2	2017
2017 Otago Canterbury Champion	2017
2017 London Swimming Regional Championships	2017
ST AAAA Northside George Block Invitational	2017
